2to3-3.12	compat-python3-rolling-core
4channels	LibRaw-bin
4dsphere	calc-bin
5axisgui	linuxcnc-bin
7z	p7zip-bin
7za	p7zip-bin
ATR_analysis	pcsc-tools-bin
CreateDOMDocument	xerces-c-bin
DOMCount	xerces-c-bin
DOMPrint	xerces-c-bin
DllPlugInTester	cppunit-bin
EnumVal	xerces-c-bin
FileCheck	llvm-bin
FileCheck-20	llvm-bin
FreeCAD	FreeCAD-bin
FreeCADCmd	FreeCAD-bin
HPXcvt	wcslib-bin
MQTTVersion	paho.mqtt.c-bin
Magick++-config	ImageMagick-bin
MagickCore-config	ImageMagick-bin
MagickWand-config	ImageMagick-bin
Markdown.pl	perl-Text-Markdown-bin
MemParse	xerces-c-bin
MinOZW	libopenzwave-bin
ModemManager	ModemManager-bin
NetworkManager	NetworkManager-bin
PParse	xerces-c-bin
PSVIWriter	xerces-c-bin
R	R-basic
R-script	R-basic
Redirect	xerces-c-bin
Rscript	R-bin
SAX2Count	xerces-c-bin
SAX2Print	xerces-c-bin
SAXCount	xerces-c-bin
SAXPrint	xerces-c-bin
SCMPrint	xerces-c-bin
SEnumVal	xerces-c-bin
Shape_PointInPoly	shapelib-bin
StdInParse	xerces-c-bin
SvtAv1EncApp	SVT-AV1-bin
SvtHevcEncApp	SVT-HEVC-bin
ThermalMonitor	thermal_monitor-bin
Thunar	Thunar-bin
WebKitWebDriver	webkitgtk60-bin
X	xorg-server-bin
XInclude	xerces-c-bin
Xdummy	x11vnc-bin
Xnest	xorg-server-bin
Xorg	xorg-server-setuid
Xvfb	xorg-server-bin
Xvnc	tigervnc-bin
Xwayland	xwayland-bin
[	os-core
_cvpcb.kiface	kicad-bin
_eeschema.kiface	kicad-bin
_gerbview.kiface	kicad-bin
_kipython.kiface	kicad-bin
_pcb_calculator.kiface	kicad-bin
_pcbnew.kiface	kicad-bin
_pl_editor.kiface	kicad-bin
a2ping	texlive-basic
a2x	asciidoc-bin
a5toa4	texlive-basic
ab	httpd-bin
abcconvert	scene-alembic-bin
abcdiff	scene-alembic-bin
abcecho	scene-alembic-bin
abcechobounds	scene-alembic-bin
abcls	scene-alembic-bin
abcstitcher	scene-alembic-bin
abctree	scene-alembic-bin
abicompat	libabigail-bin
abidiff	libabigail-bin
abidw	libabigail-bin
abilint	libabigail-bin
abipkgdiff	libabigail-bin
abireport	abireport-bin
about-eid-mw	eid-mw-bin
abw2html	libabw-bin
abw2raw	libabw-bin
abw2text	libabw-bin
accel-config	accel-config-bin
accelerate	pypi-accelerate-bin
accelerate-config	pypi-accelerate-bin
accelerate-estimate-memory	pypi-accelerate-bin
accelerate-launch	pypi-accelerate-bin
accelerate-merge-weights	pypi-accelerate-bin
accessdb	man-db-bin
accountstest	libaccounts-qt-bin
accountwizard	kmail-account-wizard-bin
ace2sam	samtools-bin
aclients	direwolf-bin
aclocal	automake-bin
aclocal-1.16	automake-bin
aconnect	alsa-utils-bin
acpibin	acpica-unix2-bin
acpidump	acpica-unix2-bin
acpiexamples	acpica-unix2-bin
acpiexec	acpica-unix2-bin
acpihelp	acpica-unix2-bin
acpisrc	acpica-unix2-bin
acpixtract	acpica-unix2-bin
activate-global-python-argcomplete	pypi-argcomplete-bin
acyclic	graphviz-bin
add.modules	modules-bin
adddebug	kde-dev-scripts-bin
addftinfo	groff-bin
addgnupghome	gnupg-bin
addmocincludes	kde-dev-scripts-bin
addpart	util-linux-bin
addr2line	binutils-bin
adf2hdf	CGNS-bin
adhocfilelist	texlive-basic
adwaita-1-demo	libadwaita-bin
aead_demo	mbedtls-bin
affixcompress	hunspell-bin
afm2afm	texlive-basic
afm2pl	texlive-basic
afm2tfm	texlive-basic
afmtodit	groff-extras
ag	the_silver_searcher-bin
ag-backup	libaccounts-glib-bin
ag-tool	libaccounts-glib-bin
agentxtrap	net-snmp-bin
agetty	util-linux-bin
aiosmtpd	pypi-aiosmtpd-bin
airscan-discover	sane-airscan-bin
akit	pypi-awxkit-bin
akonadi-db-migrator	akonadi-basic
akonadi2xml	akonadi-basic
akonadi_agent_launcher	akonadi-basic
akonadi_agent_server	akonadi-basic
akonadi_archivemail_agent	kmail-bin
akonadi_benchmarker	akonadi-mime-bin
akonadi_birthdays_resource	kdepim-runtime-bin
akonadi_contacts_resource	kdepim-runtime-bin
akonadi_control	akonadi-basic
akonadi_davgroupware_resource	kdepim-runtime-bin
akonadi_ews_resource	kdepim-runtime-bin
